state,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
Afghanistan,27000000,0.0002,0,0,0,0,0.0003,0,0,0,0,0,0.8,0.19,0,0,0,0,0.0056,0.9956,0,0,0.0001,0.0001,0.0001,0.0003,0.0001,0,0.0001,0,0,0,0,0.0001,0.002,0.0014,0.9986,1.0001,0,83
Albania,3195525,0,0.1313,0.07,0,0.0131,0.2144,0,0,0,0,0,0.6,0.03,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0.0022,0,0,0,0,0,0.1507,0.0027,0.9973,1,0,121
Algeria,35666324,0,0,0,0,0.008,0.008,0,0,0,0,0,0.99,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.998,1,0,1
Angola,19114176,0.23,0.62,0,0.002,0.0392,0.8912,0,0,0,0,0,0,0,0,0,0,0,0.0104,0.0104,0,0,0.0001,0.0001,0,0,0,0,0.0001,0,0,0,0,0.0759,0.0179,0.0044,0.9956,1,0,83
Argentina,40399992,0.1,0.75,0.0013,0.0002,0,0.8515,0,0,0,0.0068,0.0068,0,0,0,0,0,0,0.0151,0.0151,0,0,0.0002,0.0002,0,0,0,0,0.0001,0,0,0,0,0.0007,0.12,0.0055,0.9945,0.9999,0,83
Armenia,3245781,0,0,0.947,0,0.004,0.951,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0.0346,0.0009,0.9991,1,0,144
Australia,21400000,0.0943,0.2028,0.0288,0.156,0.1326,0.6145,0,0,0,0.0045,0.0045,0,0,0,0,0,0,0.0223,0.0223,0,0,0.0247,0.0247,0.0001,0.0084,0.0014,0,0.0007,0,0,0.0026,0.0033,0.0028,0.3101,0.0046,0.9954,1,0,326
Austria,8389771,0.06,0.64,0.01,0,0.02,0.73,0,0,0,0.001,0.001,0,0,0,0,0,0,0.0475,0.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1542,0.0673,0.9327,1,0,83
Azerbaijan,9047615,0.0004,0,0.0238,0,0,0.0241,0,0,0,0.0009,0.0009,0.1425,0.8075,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193,0.0057,0.9943,1,0,149
Bahrain,1234571,0.0112,0.0265,0.0275,0.0112,0.0217,0.098,0,0,0,0,0,0.2957,0.6003,0,0,0,0,0,0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.994,1,0,303
Bangladesh,147290688,0.001,0.0006,0,0,0.0004,0.002,0,0,0,0,0,0.895,0.002,0,0,0,0,0,0.897,0,0,0.006,0.006,0,0.09,0.0001,0,0.0001,0,0,0,0,0.0035,0.0008,0.0004,0.9996,0.9999,0,99
